year,winter_AO,winter_AO_pos,prior_winter_AO,prior_winter_AO_pos,two_year_prior_winter_AO,two_year_prior_winter_AO_pos,spring_AO,spring_AO_pos,prior_spring_AO,prior_spring_AO_pos,two_year_prior_spring_AO,two_year_prior_spring_AO_pos
1990,2.4641,1,NA,NA,NA,NA,1.0419733333333334,1,NA,NA,NA,NA
1991,-0.22652000000000003,0,2.4641,1,NA,NA,0.30044666666666664,1,1.0419733333333334,1,NA,NA
1992,0.88532,1,-0.22652000000000003,0,2.4641,1,0.17296999999999996,1,0.30044666666666664,1,1.0419733333333334,1
1993,1.4813833333333333,1,0.88532,1,-0.22652000000000003,0,-0.8541533333333333,0,0.17296999999999996,1,0.30044666666666664,1
1994,0.24387,1,1.4813833333333333,1,0.88532,1,0.5718633333333334,1,-0.8541533333333333,0,0.17296999999999996,1
1995,0.5561200000000001,1,0.24387,1,1.4813833333333333,1,-0.6553833333333333,0,0.5718633333333334,1,-0.8541533333333333,0
1996,-0.84013,0,0.5561200000000001,1,0.24387,1,-0.4182633333333333,0,-0.6553833333333333,0,0.5718633333333334,1
1997,0.84091,1,-0.84013,0,0.5561200000000001,1,-0.48416333333333333,0,-0.4182633333333333,0,-0.6553833333333333,0
1998,-0.8394,0,0.84091,1,-0.84013,0,-0.10666733333333332,0,-0.48416333333333333,0,-0.4182633333333333,0
1999,-0.2997066666666667,0,-0.8394,0,0.84091,1,0.40578333333333333,1,-0.10666733333333332,0,-0.48416333333333333,0
2000,0.6315466666666667,1,-0.2997066666666667,0,-0.8394,0,0.42555666666666664,1,0.40578333333333333,1,-0.10666733333333332,0
2001,-1.0892466666666667,0,0.6315466666666667,1,-0.2997066666666667,0,0.447534,1,0.42555666666666664,1,0.40578333333333333,1
2002,1.1956,1,-1.0892466666666667,0,0.6315466666666667,1,0.5741700000000001,1,0.447534,1,0.42555666666666664,1
2003,0.19636666666666666,1,1.1956,1,-1.0892466666666667,0,0.24548999999999999,1,0.5741700000000001,1,0.447534,1
2004,-0.9654133333333333,0,0.19636666666666666,1,1.1956,1,-0.24650066666666667,0,0.24548999999999999,1,0.5741700000000001,1
2005,-0.7541100000000001,0,-0.9654133333333333,0,0.19636666666666666,1,-0.39760466666666666,0,-0.24650066666666667,0,0.24548999999999999,1
2006,-0.6433466666666666,0,-0.7541100000000001,0,-0.9654133333333333,0,0.45498,1,-0.39760466666666666,0,-0.24650066666666667,0
2007,0.6363333333333333,1,-0.6433466666666666,0,-0.7541100000000001,0,0.2943266666666667,1,0.45498,1,-0.39760466666666666,0
2008,0.7808733333333333,1,0.6363333333333333,1,-0.6433466666666666,0,-0.5831633333333334,0,0.2943266666666667,1,0.45498,1
2009,0.08292999999999999,1,0.7808733333333333,1,0.6363333333333333,1,0.2718433333333333,1,-0.5831633333333334,0,0.2943266666666667,1
2010,-2.428193333333333,0,0.08292999999999999,1,0.7808733333333333,1,-0.402048,0,0.2718433333333333,1,-0.5831633333333334,0
2011,0.4387999999999999,1,-2.428193333333333,0,0.08292999999999999,1,0.46065233333333333,1,-0.402048,0,0.2718433333333333,1
2012,0.2603683333333333,1,0.4387999999999999,1,-2.428193333333333,0,-0.17952366666666664,0,0.46065233333333333,1,-0.402048,0
2013,-1.6007733333333334,0,0.2603683333333333,1,0.4387999999999999,1,0.4549566666666667,1,-0.17952366666666664,0,0.46065233333333333,1
2014,0.09360500000000001,1,-1.6007733333333334,0,0.2603683333333333,1,0.30957666666666667,1,0.4549566666666667,1,-0.17952366666666664,0
2015,1.3238666666666665,1,0.09360500000000001,1,-1.6007733333333334,0,0.8018333333333333,1,0.30957666666666667,1,0.4549566666666667,1
2016,-0.39732700000000004,0,1.3238666666666665,1,0.09360500000000001,1,-0.2579863333333333,0,0.8018333333333333,1,0.30957666666666667,1
2017,0.8824099999999999,1,-0.39732700000000004,0,1.3238666666666665,1,-0.139046,0,-0.2579863333333333,0,0.8018333333333333,1
2018,-0.3697433333333333,0,0.8824099999999999,1,-0.39732700000000004,0,0.70113,1,-0.139046,0,-0.2579863333333333,0
2019,0.8508,1,-0.3697433333333333,0,0.8824099999999999,1,-0.6959666666666666,0,0.70113,1,-0.139046,0
