date,year,day_number,ID_NR,sex,merking,age_class,age_for_analyses,lat,long,z_length,s_length,girth,condition,cub_status,cub_number,cub_number_2
1992-04-12,1992,103,7814,f,n,ad,5,77.333,"15,150",195,182,103,3,n,0,0
1992-04-12,1992,103,7815,f,n,ad,6,77.050,"16,383",204,191,114,3,n,0,0
1992-04-13,1992,104,7819,f,n,ad,5,77.233,"17,433",205,194,102,3,n,0,0
1992-04-14,1992,105,7825,f,n,ad,7,77.700,"18,300",217,195,112,4,n,0,0
1992-04-14,1992,105,7826,f,n,ad,15,77.583,"18,383",205,189,117,3,c,2,4
1992-04-15,1992,106,7788,f,r,subad,4,77.900,"18,400",195,185,1135,3,n,0,0
1992-04-27,1992,118,7829,f,n,ad,9,76.950,"16,250",202,185,99,3,n,0,0
1992-04-29,1992,120,7832,f,n,ad,15,77.001,"15,544",212,190,108,4,n,0,0
1993-04-07,1993,97,7847,f,r,ad,9,77.000,"16,000",213,198,111,2,n,0,0
1993-04-09,1993,99,7768,f,r,ad,13,78.330,"18,690",205,180,NA,4,n,0,0
1993-04-09,1993,99,7838,f,r,ad,14,78.510,"18,900",205,184,104,2,n,0,0
1993-04-11,1993,101,7792,f,r,ad,6,77.518,"18,354",203,182,105,3,n,0,0
1993-04-12,1993,102,7857,f,n,ad,8,77.336,"22,584",211,196,106,2,c,2,4
1993-04-12,1993,102,7860,f,n,ad,6,77.902,"23,519",210,192,112,2,c,2,4
1993-04-12,1993,102,7863,f,n,ad,10,78.224,"21,667",214,195,113,2,c,2,4
1993-04-13,1993,103,7793,f,r,ad,12,78.341,"20,633",220,210,117,3,c,2,4
1993-04-16,1993,106,7773,f,r,ad,6,78.526,"19,253",206,199,110,3,n,0,0
1993-04-16,1993,106,7817,f,r,ad,12,77.021,"17,309",217,203,112,3,n,0,0
1993-04-29,1993,119,7822,f,r,ad,11,77.730,"18,400",204,193,107,3,c,2,4
1993-04-30,1993,120,7789,f,r,ad,6,78.550,"19,250",200,187,102,3,n,0,0
1993-04-30,1993,120,7877,f,n,ad,5,77.800,"18,550",205,194,102,3,n,0,0
1994-03-29,1994,88,7951,f,n,ad,7,79.515,"13,701",206,202,135,3,c,2,4
1994-04-09,1994,99,7884,f,n,ad,8,77.494,"26,010",207,198,113,2,n,0,0
1994-04-14,1994,104,7887,f,n,ad,6,76.520,"25,050",202,194,115,2,c,1,1
1994-04-14,1994,104,7889,f,n,ad,7,76.520,"25,050",207,200,123,3,c,2,4
1994-04-19,1994,109,7893,f,n,ad,13,76.521,"25,064",209,202,117,3,c,2,4
1995-03-29,1995,88,7907,f,n,ad,12,76.670,"25,420",191,185,NA,3,n,0,0
1995-03-30,1995,89,7909,f,n,ad,5,76.670,"25,433",199,191,117,3,n,0,0
1995-03-30,1995,89,7911,f,n,ad,8,76.683,"25,457",204,197,115,3,n,0,0
