date,year,day_number,ID_NR,sex,merking,age_class,age_for_analyses,lat,long,z_length,s_length,girth,condition,cub_status,cub_number,cub_number_2
1993-04-11,1993,101,7792,FALSE,r,ad,6,77.518,18354,203,182,105,3,n,0,0
2009-04-18,2009,108,23732,FALSE,r,ad,6,76.989,16536,200,192,110,2,n,0,0
2012-04-08,2012,99,7951,FALSE,r,ad,25,79.311,14044,216,205,117,2,n,0,0
2012-04-08,2012,99,23939,FALSE,r,ad,8,79.489,13788,211,203,116,2,n,0,0
2012-04-14,2012,105,23980,FALSE,r,ad,6,77.777,14617,203,192,111,3,n,0,0
2014-03-31,2014,90,23952,FALSE,r,ad,6,78.557,20768,200,192,102,2,n,0,0
2014-04-24,2014,114,23219,FALSE,r,ad,20,78.311,22666,204,198,115,4,n,0,0
2014-04-24,2014,114,26179,FALSE,r,ad,11,78.402,22220,200,194,99,2,n,0,0
2016-04-05,2016,96,23689,FALSE,r,ad,14,79.497,13918,220,204,120,3,n,0,0
2016-04-15,2016,106,26088,FALSE,r,ad,11,77.523,22874,214,200,133,3,n,0,0
2016-04-16,2016,107,23952,FALSE,r,ad,8,78.5445,207319,205,195,109,2,n,0,0
2016-04-23,2016,114,23979,FALSE,r,ad,20,77.506,15899,200,190,122,3,n,0,0
2016-04-26,2016,117,23881,FALSE,r,ad,13,79.812,11852,214,200,103,2,n,0,0
2017-04-13,2017,103,23732,FALSE,r,ad,14,76.993,162528,201,192,110,2,n,0,0
2018-04-03,2018,93,26103,FALSE,r,ad,21,77.584,18414,220,200,126,3,n,0,0
2018-04-10,2018,100,23977,FALSE,r,ad,11,77.464,2232,203,190,108,3,n,0,0
2018-04-26,2018,116,23732,FALSE,r,ad,15,77.023,16362,203,197,115,3,n,0,0
2019-04-04,2019,94,26358,FALSE,n,ad,11,78.835,26.506,211,203,114,3,n,0,0
2019-04-07,2019,97,26131,FALSE,r,ad,13,77.025,16.251,204,195,119,3,n,0,0
2019-04-08,2019,98,26110,FALSE,r,ad,7,78.268,18.971999999999998,194,184,114,3,n,0,0
2019-04-22,2019,112,26084,FALSE,r,ad,15,78.879,21.543,210,201,124,2,n,0,0
2019-04-22,2019,112,26263,FALSE,r,ad,10,79.073,19.744,199,189,120,3,n,0,0
1992-04-14,1992,105,7826,FALSE,n,ad,15,77.583,18383,205,189,117,3,c,2,4
1993-04-12,1993,102,7857,FALSE,n,ad,8,77.336,22584,211,196,106,2,c,2,4
1993-04-12,1993,102,7860,FALSE,n,ad,6,77.902,23519,210,192,112,2,c,2,4
1993-04-12,1993,102,7863,FALSE,n,ad,10,78.224,21667,214,195,113,2,c,2,4
1993-04-13,1993,103,7793,FALSE,r,ad,12,78.341,20633,220,210,117,3,c,2,4
1993-04-29,1993,119,7822,FALSE,r,ad,11,77.73,18400,204,193,107,3,c,2,4
1994-03-29,1994,88,7951,FALSE,n,ad,7,79.515,13701,206,202,135,3,c,2,4
1994-04-14,1994,104,7887,FALSE,n,ad,6,76.52,25050,202,194,115,2,c,1,1
1994-04-14,1994,104,7889,FALSE,n,ad,7,76.52,25050,207,200,123,3,c,2,4
1994-04-19,1994,109,7893,FALSE,n,ad,13,76.521,25064,209,202,117,3,c,2,4
1995-04-05,1995,95,7919,FALSE,n,ad,6,76.67,25450,202,189,111,2,c,2,4
1995-04-08,1995,98,7761,FALSE,r,ad,12,76.7,25430,200,195,118,2,c,2,4
1995-04-08,1995,98,7928,FALSE,n,ad,8,76.7,25440,198,187,108,2,c,2,4
1995-04-11,1995,101,7935,FALSE,n,ad,7,76.52,25100,200,188,125,2,c,1,1
1995-04-11,1995,101,7937,FALSE,n,ad,8,76.7,25450,211,197,110,2,c,2,4
1995-04-11,1995,101,7940,FALSE,n,ad,6,76.5,24950,202,188,120,2,c,2,4
1995-04-12,1995,102,7944,FALSE,n,ad,10,76.51,25100,200,190,111,2,c,2,4
1995-04-20,1995,110,7949,FALSE,n,ad,8,76.51,25100,205,185,115,2,c,2,4
1995-04-20,1995,110,7963,FALSE,n,ad,6,76.5,25100,204,188,123,2,c,2,4
1996-04-02,1996,93,7993,FALSE,n,ad,14,76.7,25467,195,182,115,3,c,1,1
1996-04-03,1996,94,7997,FALSE,n,ad,7,76.7,25450,208,195,108,2,c,2,4
1996-04-04,1996,95,23004,FALSE,n,ad,9,76.68,25400,202,191,103,2,c,2,4
1996-04-06,1996,97,23007,FALSE,n,ad,6,76.5,25000,199,185,100,2,c,2,4
1996-04-06,1996,97,23010,FALSE,n,ad,14,76.7,25467,208,195,123,3,c,2,4
1996-04-07,1996,98,23013,FALSE,n,ad,7,76.683,25520,208,190,114,2,c,2,4
1996-04-09,1996,100,23016,FALSE,n,ad,8,76.67,25430,201,195,107,2,c,2,4
1996-04-10,1996,101,7940,FALSE,r,ad,7,76.43,24510,202,195,111,2,c,2,4
1996-04-12,1996,103,23024,FALSE,n,ad,7,76.7,25500,212,196,114,2,c,1,1
1996-04-12,1996,103,23026,FALSE,n,ad,10,76.567,25267,198,187,119,2,c,2,4
1996-04-13,1996,104,23032,FALSE,n,ad,7,77.2,24200,205,195,111,3,c,2,4
1996-04-13,1996,104,23035,FALSE,n,ad,7,76.683,25333,208,198,112,2,c,2,4
1996-04-17,1996,108,23039,FALSE,n,ad,6,76.57,25270,205,197,109,2,c,2,4
1996-04-19,1996,110,23042,FALSE,n,ad,7,76.7,25470,191,183,113,2,c,2,4
1996-04-19,1996,110,23046,FALSE,n,ad,21,76.43,24510,211,191,120,3,c,2,4
1996-04-23,1996,114,23049,FALSE,n,ad,9,76.5,25510,208,197,111,2,c,2,4
1996-04-23,1996,114,23052,FALSE,n,ad,7,76.67,25450,197,182,110,2,c,2,4
1996-04-23,1996,114,23055,FALSE,n,ad,6,76.5,25000,197,189,108,2,c,2,4
1997-04-03,1997,93,23077,FALSE,n,ad,6,78.2,21970,215,200,122,2,c,2,4
1997-04-07,1997,97,7935,FALSE,r,ad,9,76.555,25244,199,191,102,2,c,1,1
1997-04-08,1997,98,23096,FALSE,n,ad,11,78.15,22000,205,199,112,2,c,2,4
1997-04-08,1997,98,23099,FALSE,n,ad,18,78.074,22045,212,201,111,2,c,1,1
1997-04-09,1997,99,23106,FALSE,n,ad,7,78.15,21200,217,207,112,2,c,3,4
1997-04-10,1997,100,23111,FALSE,n,ad,6,76.555,25086,190,178,108,3,c,1,1
1997-04-14,1997,104,23113,FALSE,n,ad,6,76.456,24977,214,202,116,2,c,1,1
1997-04-17,1997,107,23123,FALSE,n,ad,8,76.46,24980,212,202,117,2,c,1,1
1997-04-22,1997,112,23137,FALSE,n,ad,5,77.3,22650,203,195,116,3,c,1,1
1997-04-22,1997,112,23139,FALSE,n,ad,7,78.06,22000,209,197,110,2,c,1,1
1997-04-22,1997,112,23141,FALSE,n,ad,7,78.06,22000,202,192,104,2,c,2,4
1997-04-22,1997,112,23145,FALSE,n,ad,5,76.67,25400,197,186,110,2,c,1,1
1997-04-25,1997,115,23148,FALSE,n,ad,14,76.5,25020,193,185,106,2,c,2,4
1997-05-01,1997,121,23158,FALSE,n,ad,13,76.43,42150,208,200,107,2,c,1,1
1998-04-01,1998,91,7934,FALSE,r,ad,8,77.95,23220,207,192,104,2,c,2,4
1998-04-01,1998,91,23190,FALSE,n,ad,12,77.88,24350,205,194,100,2,c,2,4
1998-04-01,1998,91,23193,FALSE,n,ad,19,77.95,23220,205,190,107,2,c,1,1
1998-04-03,1998,93,20072,FALSE,r,ad,14,77.95,23220,209,199,122,2,c,1,1
1998-04-13,1998,103,23226,FALSE,n,ad,12,76.572,25163,203,187,117,2,c,2,4
1998-04-13,1998,103,23229,FALSE,n,ad,7,76.695,25454,206,192,110,2,c,2,4
1998-04-13,1998,103,23237,FALSE,n,ad,21,78.082,21065,204,191,106,2,c,1,1
1998-04-14,1998,104,23242,FALSE,n,ad,15,77.55,23750,211,200,116,3,c,2,4
1998-04-14,1998,104,23246,FALSE,n,ad,10,76.691,25442,206,192,113,2,c,2,4
1998-04-15,1998,105,23249,FALSE,n,ad,14,76.55,25157,213,203,116,2,c,2,4
1998-04-15,1998,105,23252,FALSE,n,ad,15,77.402,23113,206,194,109,2,c,2,4
1998-04-16,1998,106,23256,FALSE,n,ad,15,76.67,25363,209,196,116,3,c,3,4
1998-04-16,1998,106,23260,FALSE,n,ad,6,76.693,25433,210,200,107,2,c,1,1
1998-04-16,1998,106,23262,FALSE,n,ad,7,76.703,25475,211,193,109,2,c,3,4
1998-04-16,1998,106,23265,FALSE,n,ad,12,77.455,23232,218,210,127,3,c,3,4
1998-04-16,1998,106,23269,FALSE,n,ad,14,77.513,23757,202,191,107,2,c,1,1
1998-04-16,1998,106,23271,FALSE,n,ad,9,77.948,22468,204,193,99,1,c,2,4
1998-04-16,1998,106,23274,FALSE,n,ad,7,78.035,22843,203,192,111,2,c,2,4
1998-04-17,1998,107,23278,FALSE,n,ad,16,76.633,25300,207,197,105,2,c,2,4
1998-04-17,1998,107,23281,FALSE,n,ad,8,76.683,25428,205,192,108,2,c,1,1
1998-04-21,1998,111,23288,FALSE,n,ad,9,78.152,22440,218,202,120,2,c,2,4
1998-04-21,1998,111,23291,FALSE,n,ad,13,77.808,25058,200,186,114,2,c,1,1
1998-04-23,1998,113,23016,FALSE,r,ad,10,76.711,25487,205,195,102,1,c,2,4
1998-04-23,1998,113,23294,FALSE,n,ad,15,76.458,24878,226,211,132,3,c,1,1
1998-05-08,1998,128,20052,FALSE,r,ad,12,75.902,37680,207,193,117,2,c,2,4
1999-04-04,1999,94,23367,FALSE,n,ad,19,76.575,25217,204,198,102,1,c,2,4
1999-04-13,1999,103,23390,FALSE,n,ad,14,77.96,23260,215,197,116,2,c,2,4
1999-04-13,1999,103,23393,FALSE,n,ad,7,78.18,22680,202,186,105,2,c,1,1
1999-04-14,1999,104,23397,FALSE,n,ad,10,78.12,23790,209,198,94,1,c,2,4
1999-04-15,1999,105,23413,FALSE,n,ad,9,78.88,28170,207,191,101,2,c,2,4
1999-04-15,1999,105,23416,FALSE,n,ad,9,78.9,28150,211,197,104,2,c,2,4
1999-04-15,1999,105,23419,FALSE,n,ad,18,78.85,28130,221,205,108,2,c,1,1
1999-04-15,1999,105,23421,FALSE,n,ad,9,78.85,27930,196,188,99,2,c,1,1
1999-04-18,1999,108,23425,FALSE,n,ad,7,76.6,25210,200,189,104,2,c,1,1
2000-04-02,2000,93,23476,FALSE,n,ad,14,78.205,19088,203,196,97,1,c,2,4
