date,year,day_number,ID_NR,sex,merking,age_class,age_for_analyses,lat,long,z_length,s_length,girth,condition,cub_status,cub_number,cub_number_2
1992-04-14,1992,105,7826,f,n,ad,15,77.583,"18,383",205,189,117,3,c,2,4
1993-04-12,1993,102,7857,f,n,ad,8,77.336,"22,584",211,196,106,2,c,2,4
1993-04-12,1993,102,7860,f,n,ad,6,77.902,"23,519",210,192,112,2,c,2,4
1993-04-12,1993,102,7863,f,n,ad,10,78.224,"21,667",214,195,113,2,c,2,4
1993-04-13,1993,103,7793,f,r,ad,12,78.341,"20,633",220,210,117,3,c,2,4
1993-04-29,1993,119,7822,f,r,ad,11,77.730,"18,400",204,193,107,3,c,2,4
1994-03-29,1994,88,7951,f,n,ad,7,79.515,"13,701",206,202,135,3,c,2,4
1994-04-14,1994,104,7887,f,n,ad,6,76.520,"25,050",202,194,115,2,c,1,1
1994-04-14,1994,104,7889,f,n,ad,7,76.520,"25,050",207,200,123,3,c,2,4
1994-04-19,1994,109,7893,f,n,ad,13,76.521,"25,064",209,202,117,3,c,2,4
1995-04-05,1995,95,7919,f,n,ad,6,76.670,"25,450",202,189,111,2,c,2,4
1995-04-08,1995,98,7761,f,r,ad,12,76.700,"25,430",200,195,118,2,c,2,4
1995-04-08,1995,98,7928,f,n,ad,8,76.700,"25,440",198,187,108,2,c,2,4
1995-04-11,1995,101,7935,f,n,ad,7,76.520,"25,100",200,188,125,2,c,1,1
1995-04-11,1995,101,7937,f,n,ad,8,76.700,"25,450",211,197,110,2,c,2,4
1995-04-11,1995,101,7940,f,n,ad,6,76.500,"24,950",202,188,120,2,c,2,4
1995-04-12,1995,102,7944,f,n,ad,10,76.510,"25,100",200,190,111,2,c,2,4
1995-04-20,1995,110,7949,f,n,ad,8,76.510,"25,100",205,185,115,2,c,2,4
1995-04-20,1995,110,7963,f,n,ad,6,76.500,"25,100",204,188,123,2,c,2,4
1996-04-02,1996,93,7993,f,n,ad,14,76.700,"25,467",195,182,115,3,c,1,1
1996-04-03,1996,94,7997,f,n,ad,7,76.700,"25,450",208,195,108,2,c,2,4
1996-04-04,1996,95,23004,f,n,ad,9,76.680,"25,400",202,191,103,2,c,2,4
1996-04-06,1996,97,23007,f,n,ad,6,76.500,"25,000",199,185,100,2,c,2,4
1996-04-06,1996,97,23010,f,n,ad,14,76.700,"25,467",208,195,123,3,c,2,4
1996-04-07,1996,98,23013,f,n,ad,7,76.683,"25,520",208,190,114,2,c,2,4
1996-04-09,1996,100,23016,f,n,ad,8,76.670,"25,430",201,195,107,2,c,2,4
1996-04-10,1996,101,7940,f,r,ad,7,76.430,"24,510",202,195,111,2,c,2,4
1996-04-12,1996,103,23024,f,n,ad,7,76.700,"25,500",212,196,114,2,c,1,1
1996-04-12,1996,103,23026,f,n,ad,10,76.567,"25,267",198,187,119,2,c,2,4
1996-04-13,1996,104,23032,f,n,ad,7,77.200,"24,200",205,195,111,3,c,2,4
1996-04-13,1996,104,23035,f,n,ad,7,76.683,"25,333",208,198,112,2,c,2,4
1996-04-17,1996,108,23039,f,n,ad,6,76.570,"25,270",205,197,109,2,c,2,4
1996-04-19,1996,110,23042,f,n,ad,7,76.700,"25,470",191,183,113,2,c,2,4
1996-04-19,1996,110,23046,f,n,ad,21,76.430,"24,510",211,191,120,3,c,2,4
1996-04-23,1996,114,23049,f,n,ad,9,76.500,"25,510",208,197,111,2,c,2,4
1996-04-23,1996,114,23052,f,n,ad,7,76.670,"25,450",197,182,110,2,c,2,4
1996-04-23,1996,114,23055,f,n,ad,6,76.500,"25,000",197,189,108,2,c,2,4
1997-04-03,1997,93,23077,f,n,ad,6,78.200,"21,970",215,200,122,2,c,2,4
1997-04-07,1997,97,7935,f,r,ad,9,76.555,"25,244",199,191,102,2,c,1,1
1997-04-08,1997,98,23096,f,n,ad,11,78.150,"22,000",205,199,112,2,c,2,4
1997-04-08,1997,98,23099,f,n,ad,18,78.074,"22,045",212,201,111,2,c,1,1
1997-04-09,1997,99,23106,f,n,ad,7,78.150,"21,200",217,207,112,2,c,3,4
1997-04-10,1997,100,23111,f,n,ad,6,76.555,"25,086",190,178,108,3,c,1,1
1997-04-14,1997,104,23113,f,n,ad,6,76.456,"24,977",214,202,116,2,c,1,1
1997-04-17,1997,107,23123,f,n,ad,8,76.460,"24,980",212,202,117,2,c,1,1
1997-04-22,1997,112,23137,f,n,ad,5,77.300,"22,650",203,195,116,3,c,1,1
1997-04-22,1997,112,23139,f,n,ad,7,78.060,"22,000",209,197,110,2,c,1,1
1997-04-22,1997,112,23141,f,n,ad,7,78.060,"22,000",202,192,104,2,c,2,4
1997-04-22,1997,112,23145,f,n,ad,5,76.670,"25,400",197,186,110,2,c,1,1
1997-04-25,1997,115,23148,f,n,ad,14,76.500,"25,020",193,185,106,2,c,2,4
1997-05-01,1997,121,23158,f,n,ad,13,76.430,"42,150",208,200,107,2,c,1,1
1998-04-01,1998,91,7934,f,r,ad,8,77.950,"23,220",207,192,104,2,c,2,4
1998-04-01,1998,91,23190,f,n,ad,12,77.880,"24,350",205,194,100,2,c,2,4
1998-04-01,1998,91,23193,f,n,ad,19,77.950,"23,220",205,190,107,2,c,1,1
1998-04-03,1998,93,20072,f,r,ad,14,77.950,"23,220",209,199,122,2,c,1,1
1998-04-13,1998,103,23226,f,n,ad,12,76.572,"25,163",203,187,117,2,c,2,4
1998-04-13,1998,103,23229,f,n,ad,7,76.695,"25,454",206,192,110,2,c,2,4
1998-04-13,1998,103,23237,f,n,ad,21,78.082,"21,065",204,191,106,2,c,1,1
1998-04-14,1998,104,23242,f,n,ad,15,77.550,"23,750",211,200,116,3,c,2,4
1998-04-14,1998,104,23246,f,n,ad,10,76.691,"25,442",206,192,113,2,c,2,4
1998-04-15,1998,105,23249,f,n,ad,14,76.550,"25,157",213,203,116,2,c,2,4
1998-04-15,1998,105,23252,f,n,ad,15,77.402,"23,113",206,194,109,2,c,2,4
1998-04-16,1998,106,23256,f,n,ad,15,76.670,"25,363",209,196,116,3,c,3,4
1998-04-16,1998,106,23260,f,n,ad,6,76.693,"25,433",210,200,107,2,c,1,1
1998-04-16,1998,106,23262,f,n,ad,7,76.703,"25,475",211,193,109,2,c,3,4
1998-04-16,1998,106,23265,f,n,ad,12,77.455,"23,232",218,210,127,3,c,3,4
1998-04-16,1998,106,23269,f,n,ad,14,77.513,"23,757",202,191,107,2,c,1,1
1998-04-16,1998,106,23271,f,n,ad,9,77.948,"22,468",204,193,99,1,c,2,4
1998-04-16,1998,106,23274,f,n,ad,7,78.035,"22,843",203,192,111,2,c,2,4
1998-04-17,1998,107,23278,f,n,ad,16,76.633,"25,300",207,197,105,2,c,2,4
1998-04-17,1998,107,23281,f,n,ad,8,76.683,"25,428",205,192,108,2,c,1,1
1998-04-21,1998,111,23288,f,n,ad,9,78.152,"22,440",218,202,120,2,c,2,4
1998-04-21,1998,111,23291,f,n,ad,13,77.808,"25,058",200,186,114,2,c,1,1
1998-04-23,1998,113,23016,f,r,ad,10,76.711,"25,487",205,195,102,1,c,2,4
1998-04-23,1998,113,23294,f,n,ad,15,76.458,"24,878",226,211,132,3,c,1,1
1998-05-08,1998,128,20052,f,r,ad,12,75.902,"37,680",207,193,117,2,c,2,4
1999-04-04,1999,94,23367,f,n,ad,19,76.575,"25,217",204,198,102,1,c,2,4
1999-04-13,1999,103,23390,f,n,ad,14,77.960,"23,260",215,197,116,2,c,2,4
1999-04-13,1999,103,23393,f,n,ad,7,78.180,"22,680",202,186,105,2,c,1,1
1999-04-14,1999,104,23397,f,n,ad,10,78.120,"23,790",209,198,94,1,c,2,4
1999-04-15,1999,105,23413,f,n,ad,9,78.880,"28,170",207,191,101,2,c,2,4
1999-04-15,1999,105,23416,f,n,ad,9,78.900,"28,150",211,197,104,2,c,2,4
1999-04-15,1999,105,23419,f,n,ad,18,78.850,"28,130",221,205,108,2,c,1,1
1999-04-15,1999,105,23421,f,n,ad,9,78.850,"27,930",196,188,99,2,c,1,1
1999-04-18,1999,108,23425,f,n,ad,7,76.600,"25,210",200,189,104,2,c,1,1
2000-04-02,2000,93,23476,f,n,ad,14,78.205,"19,088",203,196,97,1,c,2,4
2000-04-02,2000,93,23480,f,n,ad,19,77.525,"21,005",217,204,109,2,c,1,1
2000-04-03,2000,94,23484,f,n,ad,11,78.185,"22,990",209,195,105,2,c,2,4
2000-04-05,2000,96,7803,f,r,ad,15,77.457,"17,637",210,196,105,2,c,2,4
2000-04-07,2000,98,23347,f,r,ad,16,78.023,"23,648",208,198,115,3,c,2,4
2000-04-12,2000,103,23509,f,n,ad,19,78.088,"22,758",200,194,98,2,c,2,4
2000-04-13,2000,104,23514,f,n,ad,10,78.818,"28,090",203,191,103,2,c,2,4
2000-04-13,2000,104,23517,f,n,ad,8,78.900,"28,158",211,198,111,2,c,1,1
2000-04-13,2000,104,23519,f,n,ad,9,78.840,"27,872",207,195,110,2,c,2,4
2000-04-13,2000,104,23522,f,n,ad,7,78.887,"29,472",203,191,96,1,c,2,4
2000-04-13,2000,104,23525,f,n,ad,9,78.823,"26,523",202,191,104,2,c,1,1
2000-04-13,2000,104,23527,f,n,ad,10,78.690,"26,658",199,189,102,2,c,2,4
2000-04-14,2000,105,23534,f,n,ad,9,78.585,"21,672",201,190,101,2,c,1,1
2000-04-20,2000,111,23538,f,n,ad,15,78.870,"28,303",213,203,105,2,c,2,4
2000-04-20,2000,111,23541,f,n,ad,11,78.890,"28,198",213,201,109,2,c,2,4
2000-04-20,2000,111,23544,f,n,ad,13,78.885,"29,368",216,206,113,2,c,2,4
2000-04-20,2000,111,23547,f,n,ad,8,78.885,"29,471",207,194,109,2,c,2,4
2000-04-20,2000,111,23550,f,n,ad,24,78.883,"28,123",202,189,109,2,c,1,1
2000-04-20,2000,111,23552,f,n,ad,20,78.888,"28,183",209,198,115,3,c,1,1
2000-04-20,2000,111,23554,f,n,ad,19,78.867,"27,905",217,202,115,2,c,2,4
2001-04-12,2001,102,23367,f,r,ad,21,77.993,"24,323",208,198,108,2,c,2,4
2001-04-19,2001,109,23587,f,n,ad,6,76.687,"25,435",201,189,109,2,c,2,4
2001-04-21,2001,111,23595,f,n,ad,11,77.112,"25,415",206,194,113,2,c,2,4
2001-04-22,2001,112,23030,f,r,ad,6,78.920,"28,170",207,196,106,2,c,1,1
2001-04-22,2001,112,23613,f,n,ad,8,78.390,"26,472",202,193,105,2,c,2,4
2001-05-05,2001,125,23636,f,n,ad,11,77.100,"15,400",204,195,116,3,c,1,1
2002-04-12,2002,102,23653,f,n,ad,10,77.182,"26,764",201,189,112,2,c,2,4
2002-04-13,2002,103,23657,f,n,ad,8,77.338,"23,017",199,191,109,2,c,2,4
2002-04-25,2002,115,23679,f,n,ad,10,79.584,"12,383",212,198,114,2,c,2,4
2002-04-28,2002,118,7951,f,r,ad,15,79.381,"14,046",215,203,123,2,c,2,4
2002-04-30,2002,120,23688,f,n,ad,7,79.720,"14,930",214,198,103,1,c,1,1
2003-04-05,2003,95,7757,f,r,ad,14,76.810,"16,800",199,190,94,2,c,2,4
2003-04-19,2003,109,23357,f,r,ad,7,77.500,"17,783",204,195,99,2,c,2,4
2003-04-19,2003,109,23715,f,n,ad,6,77.517,"17,700",209,195,106,3,c,1,1
2003-04-21,2003,111,7805,f,r,ad,14,78.338,"18,808",202,191,105,3,c,2,4
2003-04-23,2003,113,23534,f,r,ad,12,78.526,"20,329",200,192,99,2,c,1,1
2003-04-26,2003,116,23725,f,n,ad,11,76.691,"25,432",204,189,112,3,c,2,4
2003-04-29,2003,119,23731,f,n,ad,7,76.983,"16,250",213,202,115,2,c,1,1
2004-04-03,2004,94,23735,f,n,ad,8,77.192,"17,390",208,198,102,2,c,2,4
2004-04-12,2004,103,23739,f,n,ad,6,77.058,"17,140",195,187,95,2,c,1,1
2004-04-16,2004,107,7863,f,r,ad,21,77.617,"20,950",211,202,108,2,c,2,4
2004-04-21,2004,112,23356,f,r,ad,10,77.367,"17,617",210,200,102,2,c,2,4
2004-04-21,2004,112,23764,f,n,ad,5,77.550,"17,583",208,198,101,2,c,1,1
2004-04-21,2004,112,23766,f,n,ad,8,77.133,"17,350",211,200,100,2,c,2,4
2005-04-15,2005,105,23774,f,n,ad,15,77.039,"16,873",208,196,112,3,c,2,4
2005-04-15,2005,105,23779,f,n,ad,18,76.679,"17,058",211,196,104,2,c,1,1
2005-04-17,2005,107,23697,f,r,ad,5,77.079,"15,958",203,195,118,3,c,1,1
2005-04-19,2005,109,7815,f,r,ad,19,77.126,"17,415",209,198,121,3,c,1,1
2005-04-19,2005,109,23742,f,r,ad,17,76.580,"16,820",208,196,105,2,c,2,4
2005-04-25,2005,115,23357,f,r,ad,9,77.552,"17,563",208,198,114,2,c,1,1
2005-04-26,2005,116,23703,f,r,ad,12,78.242,"20,638",201,190,120,1,c,1,1
