year,index,positive,date,month,day
1990,1.04,1,1990-01-01,01,1
1990,1.41,1,1990-02-01,02,1
1990,1.46,1,1990-03-01,03,1
1990,2,1,1990-04-01,04,1
1990,-1.53,0,1990-05-01,05,1
1990,-0.02,0,1990-06-01,06,1
1990,0.53,1,1990-07-01,07,1
1990,0.97,1,1990-08-01,08,1
1990,1.06,1,1990-09-01,09,1
1990,0.23,1,1990-10-01,10,1
1990,-0.24,0,1990-11-01,11,1
1990,0.22,1,1990-12-01,12,1
1991,0.86,1,1991-01-01,01,1
1991,1.04,1,1991-02-01,02,1
1991,-0.2,0,1991-03-01,03,1
1991,0.29,1,1991-04-01,04,1
1991,0.08,1,1991-05-01,05,1
1991,-0.82,0,1991-06-01,06,1
1991,-0.49,0,1991-07-01,07,1
1991,1.23,1,1991-08-01,08,1
1991,0.48,1,1991-09-01,09,1
1991,-0.19,0,1991-10-01,10,1
1991,0.48,1,1991-11-01,11,1
1991,0.46,1,1991-12-01,12,1
1992,-0.13,0,1992-01-01,01,1
1992,1.07,1,1992-02-01,02,1
1992,0.87,1,1992-03-01,03,1
1992,1.86,1,1992-04-01,04,1
1992,2.63,1,1992-05-01,05,1
1992,0.2,1,1992-06-01,06,1
1992,0.16,1,1992-07-01,07,1
1992,0.85,1,1992-08-01,08,1
1992,-0.44,0,1992-09-01,09,1
1992,-1.76,0,1992-10-01,10,1
1992,1.19,1,1992-11-01,11,1
1992,0.47,1,1992-12-01,12,1
1993,1.6,1,1993-01-01,01,1
1993,0.5,1,1993-02-01,02,1
1993,0.67,1,1993-03-01,03,1
1993,0.97,1,1993-04-01,04,1
1993,-0.78,0,1993-05-01,05,1
1993,-0.59,0,1993-06-01,06,1
1993,-3.18,0,1993-07-01,07,1
1993,0.12,1,1993-08-01,08,1
1993,-0.57,0,1993-09-01,09,1
1993,-0.71,0,1993-10-01,10,1
1993,2.56,1,1993-11-01,11,1
1993,1.56,1,1993-12-01,12,1
1994,1.04,1,1994-01-01,01,1
1994,0.46,1,1994-02-01,02,1
1994,1.26,1,1994-03-01,03,1
1994,1.14,1,1994-04-01,04,1
1994,-0.57,0,1994-05-01,05,1
1994,1.52,1,1994-06-01,06,1
1994,1.31,1,1994-07-01,07,1
1994,0.38,1,1994-08-01,08,1
1994,-1.32,0,1994-09-01,09,1
1994,-0.97,0,1994-10-01,10,1
1994,0.64,1,1994-11-01,11,1
1994,2.02,1,1994-12-01,12,1
1995,0.93,1,1995-01-01,01,1
1995,1.14,1,1995-02-01,02,1
1995,1.25,1,1995-03-01,03,1
1995,-0.85,0,1995-04-01,04,1
1995,-1.49,0,1995-05-01,05,1
1995,0.13,1,1995-06-01,06,1
1995,-0.22,0,1995-07-01,07,1
