year,day_retreat,day_advance,ice_free_days,mar_may,jun_nov
1990,156,324,168,7407.52688172043,5050.537634408603
1991,181,305,124,7127.419354838709,7275
1992,197,294,97,7194.7220267417315,8057.565095003519
1993,217,285,68,8116.185784658691,10291.133004926109
1994,186,293,107,7516.678395496129,7146.657283603096
1995,182,302,120,7672.13230119634,7142.153413089373
1996,188,320,132,7555.172413793103,5958.90218156228
1997,194,301,107,7883.954961294863,7872.976776917663
1998,202,309,107,8345.038705137227,8026.108374384236
1999,173,331,158,6794.651653764954,4407.952146375792
2000,191,346,155,7661.365235749472,5070.971147079522
2001,173,312,139,7555.594651653765,4179.591836734694
2002,169,296,127,7189.5144264602395,6740.675580577058
2003,210,287,77,8175.932441942294,9615.552427867698
2004,190,323,133,6926.24912033779,4711.400422237861
2005,177,300,123,6859.535538353272,5774.736101337086
2006,102,382,280,4360.73187895848,1819.0710767065448
2007,167,377,210,6137.543983110486,2361.0837438423646
2008,200,302,102,6917.311752287122,8348.486980999296
2009,170,360,190,6862.913441238565,5756.931738212526
2010,150,323,173,6777.41027445461,3584.3068261787475
2011,163,337,174,7315.6931738212525,3220.232230823364
2012,142,392,250,4847.923997185081,1019.8451794510908
2013,153,344,191,6514.567206192822,1339.338494018297
2014,152,289,137,5457.846586910627,7572.906403940887
2015,180,447,267,6329.345531315975,2855.8057705840956
2016,125,426,301,3922.3082336382827,264.39127375087963
2017,188,367,179,6579.6622097114705,4023.7156931738214
2018,129,383,254,5278.184377199155,251.72413793103448
2019,186,314,128,6616.819141449683,5980.717804363125
2020,180,NA,NA,7602.2519352568615,2082.266009852217
