year,day_retreat,day_advance,ice_free_days
1992,193,288,95
1993,214,282,68
1994,182,292,110
1995,179,301,122
1996,196,303,107
1997,200,301,101
1998,203,294,91
1999,191,299,108
2000,184,335,151
2001,167,310,143
2002,171,295,124
2003,212,294,82
2004,187,319,132
2005,178,299,121
2006,102,297,195
2007,167,364,197
2008,182,311,129
2009,167,358,191
2010,139,323,184
2011,160,346,186
2012,142,412,270
2013,152,340,188
2014,160,307,147
2015,164,447,283
2016,125,423,298
2017,166,395,229
2018,132,382,250
2019,182,329,147
2020,157,NA,NA
