year,day_retreat,day_advance,ice_free_days
1992,195,295,100
1993,217,286,69
1994,186,292,106
1995,188,302,114
1996,188,325,137
1997,197,301,104
1998,202,314,112
1999,173,333,160
2000,192,348,156
2001,173,312,139
2002,169,297,128
2003,211,291,80
2004,190,323,133
2005,178,300,122
2006,102,382,280
2007,167,378,211
2008,201,310,109
2009,171,361,190
2010,150,323,173
2011,174,338,164
2012,142,393,251
2013,153,363,210
2014,153,290,137
2015,180,447,267
2016,125,427,302
2017,188,369,181
2018,128,383,255
2019,186,314,128
2020,181,NA,NA
