year,day_retreat,day_advance,ice_free_days
1992,187,289,102
1993,206,285,79
1994,182,294,112
1995,177,302,125
1996,190,303,113
1997,198,303,105
1998,202,294,92
1999,187,305,118
2000,174,336,162
2001,167,312,145
2002,170,296,126
2003,201,295,94
2004,187,319,132
2005,176,301,125
2006,102,383,281
2007,166,364,198
2008,170,312,142
2009,163,358,195
2010,138,325,187
2011,158,347,189
2012,122,395,273
2013,152,342,190
2014,152,308,156
2015,155,447,292
2016,88,426,338
2017,153,394,241
2018,137,382,245
2019,179,330,151
2020,154,NA,NA
