year,day_retreat,day_advance,ice_free_days
1990,151,324,173
1991,181,306,125
1992,195,295,100
1993,217,286,69
1994,186,293,107
1995,188,302,114
1996,188,324,136
1997,194,301,107
1998,201,309,108
1999,173,331,158
2000,191,347,156
2001,173,313,140
2002,169,297,128
2003,201,288,87
2004,190,323,133
2005,178,301,123
2006,102,368,266
2007,167,377,210
2008,200,303,103
2009,170,360,190
2010,151,324,173
2011,163,338,175
2012,142,392,250
2013,153,361,208
2014,150,290,140
2015,180,447,267
2016,125,427,302
2017,181,368,187
2018,129,383,254
2019,186,313,127
2020,162,NA,NA
