year,day_retreat,day_advance,ice_free_days
1992,195,295,100
1993,217,286,69
1994,186,292,106
1995,193,302,109
1996,188,326,138
1997,199,300,101
1998,202,316,114
1999,179,336,157
2000,199,348,149
2001,174,312,138
2002,170,295,125
2003,211,285,74
2004,190,323,133
2005,179,300,121
2006,103,382,279
2007,168,378,210
2008,202,311,109
2009,203,369,166
2010,152,322,170
2011,188,339,151
2012,144,398,254
2013,155,363,208
2014,159,290,131
2015,185,448,263
2016,125,426,301
2017,196,370,174
2018,127,383,256
2019,189,309,120
2020,186,NA,NA
